feature_kind,feature_ref,feature_id,input_index,sequence_id,contig_id,start,end,strand,result,is_cas,cas_family,class,type,subtype,profile,residue_count,repeat_count,spacer_count,cassette_id,profile_score,score_margin,model_score,method
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000408|loc=428440-429249|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000408|loc=428440-429249|strand=+,10,casandra|contig=NC_002737.2_complete_genome|cds=000408|loc=428440-429249|strand=+,NC_002737.2_complete_genome,428440,429249,'+,Cas14,true,Cas14,,VII,,C25_Cas14_1,,,,,31.790935516357422,231.79093551635742,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000499|loc=520868-523369|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000499|loc=520868-523369|strand=+,11,casandra|contig=NC_002737.2_complete_genome|cds=000499|loc=520868-523369|strand=+,NC_002737.2_complete_genome,520868,523369,'+,Cas3,true,Cas3,,I,,C25_Cas3_2,,,,,21.816774368286133,221.81677436828613,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000501|loc=524918-526264|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000501|loc=524918-526264|strand=+,12,casandra|contig=NC_002737.2_complete_genome|cds=000501|loc=524918-526264|strand=+,NC_002737.2_complete_genome,524918,526264,'+,Csx22,true,Csx22,,III,III-A,C25_Csx22_1,,,,,13.16275691986084,213.16275691986084,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000517|loc=537567-539150|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000517|loc=537567-539150|strand=+,13,casandra|contig=NC_002737.2_complete_genome|cds=000517|loc=537567-539150|strand=+,NC_002737.2_complete_genome,537567,539150,'+,Cas3,true,Cas3,,I,,C25_Cas3_2,,,,,14.952581405639648,214.95258140563965,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000606|loc=631466-634681|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000606|loc=631466-634681|strand=+,14,casandra|contig=NC_002737.2_complete_genome|cds=000606|loc=631466-634681|strand=+,NC_002737.2_complete_genome,631466,634681,'+,Cas4,true,Cas4,,,,C25_Cas4_3,,,,,16.969886779785156,216.96988677978516,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000607|loc=634678-638310|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000607|loc=634678-638310|strand=+,15,casandra|contig=NC_002737.2_complete_genome|cds=000607|loc=634678-638310|strand=+,NC_002737.2_complete_genome,634678,638310,'+,Cas4,true,Cas4,,,,C25_Cas4_3,,,,,35.859230041503906,235.8592300415039,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000729|loc=767069-767998|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000729|loc=767069-767998|strand=+,16,casandra|contig=NC_002737.2_complete_genome|cds=000729|loc=767069-767998|strand=+,NC_002737.2_complete_genome,767069,767998,'+,Cas14,true,Cas14,,VII,,C25_Cas14_1,,,,,18.163503646850586,218.1635036468506,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000734|loc=772399-773055|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000734|loc=772399-773055|strand=+,17,casandra|contig=NC_002737.2_complete_genome|cds=000734|loc=772399-773055|strand=+,NC_002737.2_complete_genome,772399,773055,'+,Cas6,true,Cas6,,,,C25_Cas6_6,,,,,15.630413055419922,215.63041305541992,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000812|loc=829386-831047|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000812|loc=829386-831047|strand=+,18,casandra|contig=NC_002737.2_complete_genome|cds=000812|loc=829386-831047|strand=+,NC_002737.2_complete_genome,829386,831047,'+,Cas14,true,Cas14,,VII,,C25_Cas14_1,,,,,34.048851013183594,234.0488510131836,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000825|loc=847779-848735|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000825|loc=847779-848735|strand=+,19,casandra|contig=NC_002737.2_complete_genome|cds=000825|loc=847779-848735|strand=+,NC_002737.2_complete_genome,847779,848735,'+,Cas6,true,Cas6,,,,C25_Cas6_3,,,,,11.942476272583008,211.942476272583,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000832|loc=854751-858857|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000832|loc=854751-858857|strand=+,20,casandra|contig=NC_002737.2_complete_genome|cds=000832|loc=854751-858857|strand=+,NC_002737.2_complete_genome,854751,858857,'+,Cas9,true,Cas9,,II,II-C,C25_Cas9_2,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0016|loc=854751-860064,1531.89404296875,1731.89404296875,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000833|loc=858857-859726|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000833|loc=858857-859726|strand=+,21,casandra|contig=NC_002737.2_complete_genome|cds=000833|loc=858857-859726|strand=+,NC_002737.2_complete_genome,858857,859726,'+,Cas1,true,Cas1,,,,C25_Cas1_1,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0016|loc=854751-860064,181.61141967773438,381.6114196777344,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000834|loc=859753-860064|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000834|loc=859753-860064|strand=+,22,casandra|contig=NC_002737.2_complete_genome|cds=000834|loc=859753-860064|strand=+,NC_002737.2_complete_genome,859753,860064,'+,Cas2,true,Cas2,,,,C25_Cas2_1,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0016|loc=854751-860064,55.673030853271484,255.67303085327148,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=000842|loc=867262-867753|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=000842|loc=867262-867753|strand=+,23,casandra|contig=NC_002737.2_complete_genome|cds=000842|loc=867262-867753|strand=+,NC_002737.2_complete_genome,867262,867753,'+,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,,11.546778678894043,211.54677867889404,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001063|loc=1091216-1093207|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001063|loc=1091216-1093207|strand=-,24,casandra|contig=NC_002737.2_complete_genome|cds=001063|loc=1091216-1093207|strand=-,NC_002737.2_complete_genome,1091216,1093207,'-,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,,25.899169921875,225.899169921875,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001093|loc=1120809-1122092|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001093|loc=1120809-1122092|strand=-,25,casandra|contig=NC_002737.2_complete_genome|cds=001093|loc=1120809-1122092|strand=-,NC_002737.2_complete_genome,1120809,1122092,'-,Cas1,true,Cas1,,,,C25_Cas1_2,,,,,15.452641487121582,215.45264148712158,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001100|loc=1130854-1132524|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001100|loc=1130854-1132524|strand=-,26,casandra|contig=NC_002737.2_complete_genome|cds=001100|loc=1130854-1132524|strand=-,NC_002737.2_complete_genome,1130854,1132524,'-,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,,17.668277740478516,217.66827774047852,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001105|loc=1135095-1136180|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=001105|loc=1135095-1136180|strand=+,27,casandra|contig=NC_002737.2_complete_genome|cds=001105|loc=1135095-1136180|strand=+,NC_002737.2_complete_genome,1135095,1136180,'+,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,,41.69937515258789,241.6993751525879,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001140|loc=1173896-1175515|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001140|loc=1173896-1175515|strand=-,28,casandra|contig=NC_002737.2_complete_genome|cds=001140|loc=1173896-1175515|strand=-,NC_002737.2_complete_genome,1173896,1175515,'-,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,,38.04255676269531,238.0425567626953,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001175|loc=1205808-1206269|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001175|loc=1205808-1206269|strand=-,29,casandra|contig=NC_002737.2_complete_genome|cds=001175|loc=1205808-1206269|strand=-,NC_002737.2_complete_genome,1205808,1206269,'-,Cas12m,true,Cas12m,,V,V-M,C25_Cas12_M_1,,,,,9.716853141784668,209.71685314178467,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001188|loc=1215006-1215803|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001188|loc=1215006-1215803|strand=-,30,casandra|contig=NC_002737.2_complete_genome|cds=001188|loc=1215006-1215803|strand=-,NC_002737.2_complete_genome,1215006,1215803,'-,Cas4,true,Cas4,,,,C25_Cas4_3,,,,,18.97099494934082,218.97099494934082,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001204|loc=1223006-1223593|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001204|loc=1223006-1223593|strand=-,31,casandra|contig=NC_002737.2_complete_genome|cds=001204|loc=1223006-1223593|strand=-,NC_002737.2_complete_genome,1223006,1223593,'-,Csx28,true,Csx28,,VI,VI-B,C25_Csx28_2,,,,,14.213598251342773,214.21359825134277,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001212|loc=1230418-1230633|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001212|loc=1230418-1230633|strand=-,32,casandra|contig=NC_002737.2_complete_genome|cds=001212|loc=1230418-1230633|strand=-,NC_002737.2_complete_genome,1230418,1230633,'-,Cas11b,true,Cas11b,,I,I-B,C25_Cas11b_1,,,,,13.884536743164062,213.88453674316406,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001224|loc=1245228-1245986|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001224|loc=1245228-1245986|strand=-,33,casandra|contig=NC_002737.2_complete_genome|cds=001224|loc=1245228-1245986|strand=-,NC_002737.2_complete_genome,1245228,1245986,'-,Cas12m,true,Cas12m,,V,V-M,C25_Cas12_M_1,,,,,2.083134412765503,202.0831344127655,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001250|loc=1270192-1271685|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001250|loc=1270192-1271685|strand=-,34,casandra|contig=NC_002737.2_complete_genome|cds=001250|loc=1270192-1271685|strand=-,NC_002737.2_complete_genome,1270192,1271685,'-,Csx32,true,Csx32,,,,C25_Csx32_1,,,,,8.106425285339355,208.10642528533936,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001263|loc=1283879-1284172|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001263|loc=1283879-1284172|strand=-,35,casandra|contig=NC_002737.2_complete_genome|cds=001263|loc=1283879-1284172|strand=-,NC_002737.2_complete_genome,1283879,1284172,'-,Cas2,true,Cas2,,,,C25_Cas2_1,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0028|loc=1283879-1291892,111.41407775878906,311.41407775878906,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001264|loc=1284183-1285208|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001264|loc=1284183-1285208|strand=-,36,casandra|contig=NC_002737.2_complete_genome|cds=001264|loc=1284183-1285208|strand=-,NC_002737.2_complete_genome,1284183,1285208,'-,Cas1,true,Cas1,,,,C25_Cas1_1,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0028|loc=1283879-1291892,363.3041076660156,563.3041076660156,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001265|loc=1285205-1285879|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001265|loc=1285205-1285879|strand=-,37,casandra|contig=NC_002737.2_complete_genome|cds=001265|loc=1285205-1285879|strand=-,NC_002737.2_complete_genome,1285205,1285879,'-,Cas4,true,Cas4,,,,C25_Cas4_1,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0028|loc=1283879-1291892,258.6548767089844,458.6548767089844,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001266|loc=1285881-1286729|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001266|loc=1285881-1286729|strand=-,38,casandra|contig=NC_002737.2_complete_genome|cds=001266|loc=1285881-1286729|strand=-,NC_002737.2_complete_genome,1285881,1286729,'-,Cas7,true,Cas7,,I,,C25_Cas7_1,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0028|loc=1283879-1291892,303.4380187988281,503.4380187988281,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001267|loc=1286734-1288629|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001267|loc=1286734-1288629|strand=-,39,casandra|contig=NC_002737.2_complete_genome|cds=001267|loc=1286734-1288629|strand=-,NC_002737.2_complete_genome,1286734,1288629,'-,Cas8c,true,Cas8c,,I,I-C,C25_Cas8c_1,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0028|loc=1283879-1291892,359.2894592285156,559.2894592285156,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001268|loc=1288629-1289357|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001268|loc=1288629-1289357|strand=-,40,casandra|contig=NC_002737.2_complete_genome|cds=001268|loc=1288629-1289357|strand=-,NC_002737.2_complete_genome,1288629,1289357,'-,Cas5,true,Cas5,,I,,C25_Cas5_8__kira20260915,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0028|loc=1283879-1291892,174.0583038330078,374.0583038330078,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001269|loc=1289490-1291892|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001269|loc=1289490-1291892|strand=-,41,casandra|contig=NC_002737.2_complete_genome|cds=001269|loc=1289490-1291892|strand=-,NC_002737.2_complete_genome,1289490,1291892,'-,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0028|loc=1283879-1291892,482.5826721191406,682.5826721191406,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001302|loc=1338328-1339653|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001302|loc=1338328-1339653|strand=-,42,casandra|contig=NC_002737.2_complete_genome|cds=001302|loc=1338328-1339653|strand=-,NC_002737.2_complete_genome,1338328,1339653,'-,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,,53.022315979003906,253.0223159790039,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001314|loc=1350674-1353058|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001314|loc=1350674-1353058|strand=-,43,casandra|contig=NC_002737.2_complete_genome|cds=001314|loc=1350674-1353058|strand=-,NC_002737.2_complete_genome,1350674,1353058,'-,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,,33.99645233154297,233.99645233154297,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001340|loc=1378388-1379731|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001340|loc=1378388-1379731|strand=-,44,casandra|contig=NC_002737.2_complete_genome|cds=001340|loc=1378388-1379731|strand=-,NC_002737.2_complete_genome,1378388,1379731,'-,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,,59.4591178894043,259.4591178894043,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001388|loc=1428261-1429406|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001388|loc=1428261-1429406|strand=-,45,casandra|contig=NC_002737.2_complete_genome|cds=001388|loc=1428261-1429406|strand=-,NC_002737.2_complete_genome,1428261,1429406,'-,Cas10d,true,Cas10d,,I,I-D,C25_Cas10d_6,,,,,13.041009902954102,213.0410099029541,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001396|loc=1434128-1434484|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=001396|loc=1434128-1434484|strand=+,46,casandra|contig=NC_002737.2_complete_genome|cds=001396|loc=1434128-1434484|strand=+,NC_002737.2_complete_genome,1434128,1434484,'+,Cas12f07,true,Cas12f07,,V,V-F,C25_Cas12_F07_2,,,,,13.242279052734375,213.24227905273438,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001410|loc=1448100-1448522|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001410|loc=1448100-1448522|strand=-,47,casandra|contig=NC_002737.2_complete_genome|cds=001410|loc=1448100-1448522|strand=-,NC_002737.2_complete_genome,1448100,1448522,'-,Cas8a9,true,Cas8a9,,I,I-A,C25_Cas8a_9,,,,,10.640134811401367,210.64013481140137,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001440|loc=1476754-1478769|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001440|loc=1476754-1478769|strand=-,48,casandra|contig=NC_002737.2_complete_genome|cds=001440|loc=1476754-1478769|strand=-,NC_002737.2_complete_genome,1476754,1478769,'-,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,,37.528316497802734,237.52831649780273,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001501|loc=1549097-1549768|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001501|loc=1549097-1549768|strand=-,49,casandra|contig=NC_002737.2_complete_genome|cds=001501|loc=1549097-1549768|strand=-,NC_002737.2_complete_genome,1549097,1549768,'-,Cas8b6,true,Cas8b6,,I,I-B,C25_Cas8b_6,,,,,10.546175956726074,210.54617595672607,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001510|loc=1556119-1557801|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=001510|loc=1556119-1557801|strand=+,50,casandra|contig=NC_002737.2_complete_genome|cds=001510|loc=1556119-1557801|strand=+,NC_002737.2_complete_genome,1556119,1557801,'+,Cas14,true,Cas14,,VII,,C25_Cas14_1,,,,,11.813997268676758,211.81399726867676,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001533|loc=1584927-1587905|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=001533|loc=1584927-1587905|strand=+,51,casandra|contig=NC_002737.2_complete_genome|cds=001533|loc=1584927-1587905|strand=+,NC_002737.2_complete_genome,1584927,1587905,'+,Cas3,true,Cas3,,I,,C25_Cas3_2,,,,,22.22382164001465,222.22382164001465,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001553|loc=1607343-1607630|strand=+,casandra|contig=NC_002737.2_complete_genome|cds=001553|loc=1607343-1607630|strand=+,52,casandra|contig=NC_002737.2_complete_genome|cds=001553|loc=1607343-1607630|strand=+,NC_002737.2_complete_genome,1607343,1607630,'+,Cas13b,true,Cas13b,,VI,VI-B,C25_Cas13_B_2,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0039|loc=1607343-1610463,13.594488143920898,213.5944881439209,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001557|loc=1610257-1610463|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001557|loc=1610257-1610463|strand=-,53,casandra|contig=NC_002737.2_complete_genome|cds=001557|loc=1610257-1610463|strand=-,NC_002737.2_complete_genome,1610257,1610463,'-,Cas11_IVB,true,Cas11_IVB,,IV,IV-B,C25_Cas11_IV_4,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0039|loc=1607343-1610463,12.978409767150879,212.97840976715088,,
cas_gene,cas_gene:casandra|contig=NC_002737.2_complete_genome|cds=001568|loc=1618188-1620320|strand=-,casandra|contig=NC_002737.2_complete_genome|cds=001568|loc=1618188-1620320|strand=-,54,casandra|contig=NC_002737.2_complete_genome|cds=001568|loc=1618188-1620320|strand=-,NC_002737.2_complete_genome,1618188,1620320,'-,Csm5gr7,true,Csm5gr7,,III,,C25_Cas5_csm5_2,,,,,9.547516822814941,209.54751682281494,,
cassette,cassette:casandra|contig=NC_002737.2_complete_genome|cassette=0006|loc=229757-235674,casandra|contig=NC_002737.2_complete_genome|cassette=0006|loc=229757-235674,,,NC_002737.2_complete_genome,229757,235674,,I-D,,,1,I,I-D,,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0006|loc=229757-235674,,,,direct_profile_aggregation
cassette,cassette:casandra|contig=NC_002737.2_complete_genome|cassette=0016|loc=854751-860064,casandra|contig=NC_002737.2_complete_genome|cassette=0016|loc=854751-860064,,,NC_002737.2_complete_genome,854751,860064,,II-A,,,2,II,II-A,,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0016|loc=854751-860064,,,,type_ii_ordered_profile_architecture_extratrees
cassette,cassette:casandra|contig=NC_002737.2_complete_genome|cassette=0028|loc=1283879-1291892,casandra|contig=NC_002737.2_complete_genome|cassette=0028|loc=1283879-1291892,,,NC_002737.2_complete_genome,1283879,1291892,,I-C,,,1,I,I-C,,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0028|loc=1283879-1291892,,,,direct_profile_aggregation
cassette,cassette:casandra|contig=NC_002737.2_complete_genome|cassette=0039|loc=1607343-1610463,casandra|contig=NC_002737.2_complete_genome|cassette=0039|loc=1607343-1610463,,,NC_002737.2_complete_genome,1607343,1610463,,VI-B,,,2,VI,VI-B,,,,,casandra|contig=NC_002737.2_complete_genome|cassette=0039|loc=1607343-1610463,,,,direct_profile_aggregation
